Xpositon	Ypositon	Counts
-0.107692	-0.169231	9000.000000000
-0.117949	-0.169231	9880.000000000
-0.128205	-0.169231	9040.000000000
-0.138462	-0.169231	8660.000000000
-0.148718	-0.169231	8460.000000000
-0.158974	-0.169231	9100.000000000
-0.169231	-0.169231	8350.000000000
-0.179487	-0.169231	7740.000000000
-0.189744	-0.169231	7420.000000000
-0.200000	-0.169231	6760.000000000
0.200000	-0.158974	2400.000000000
0.189744	-0.158974	2590.000000000
0.179487	-0.158974	2250.000000000
0.169231	-0.158974	2690.000000000
0.158974	-0.158974	3060.000000000
0.148718	-0.158974	2360.000000000
0.138462	-0.158974	2940.000000000
0.128205	-0.158974	2810.000000000
0.117949	-0.158974	2600.000000000
0.107692	-0.158974	2670.000000000
0.097436	-0.158974	3310.000000000
0.087179	-0.158974	3030.000000000
0.076923	-0.158974	3940.000000000
0.066667	-0.158974	3530.000000000
0.056410	-0.158974	4050.000000000
0.046154	-0.158974	4240.000000000
0.035897	-0.158974	4880.000000000
0.025641	-0.158974	6370.000000000
0.015385	-0.158974	7020.000000000
0.005128	-0.158974	7060.000000000
-0.005128	-0.158974	8270.000000000
-0.015385	-0.158974	8600.000000000
-0.025641	-0.158974	10790.000000000
-0.035897	-0.158974	8960.000000000
-0.046154	-0.158974	9710.000000000
-0.056410	-0.158974	9830.000000000
-0.066667	-0.158974	9290.000000000
-0.076923	-0.158974	10500.000000000
-0.087179	-0.158974	9750.000000000
-0.097436	-0.158974	9450.000000000
-0.107692	-0.158974	10420.000000000
-0.117949	-0.158974	9750.000000000
-0.128205	-0.158974	8870.000000000
-0.138462	-0.158974	8470.000000000
-0.148718	-0.158974	7410.000000000
-0.158974	-0.158974	6820.000000000
-0.169231	-0.158974	6280.000000000
-0.179487	-0.158974	5440.000000000
-0.189744	-0.158974	4860.000000000
-0.200000	-0.158974	4580.000000000
0.200000	-0.148718	2830.000000000
0.189744	-0.148718	2460.000000000
0.179487	-0.148718	3250.000000000
0.169231	-0.148718	3360.000000000
0.158974	-0.148718	2980.000000000
0.148718	-0.148718	3080.000000000
0.138462	-0.148718	3480.000000000
0.128205	-0.148718	3660.000000000
0.117949	-0.148718	4090.000000000
0.107692	-0.148718	4690.000000000
0.097436	-0.148718	4850.000000000
0.087179	-0.148718	4920.000000000
0.076923	-0.148718	5820.000000000
0.066667	-0.148718	6700.000000000
0.056410	-0.148718	8190.000000000
0.046154	-0.148718	9160.000000000
0.035897	-0.148718	10240.000000000
0.025641	-0.148718	11400.000000000
0.015385	-0.148718	11210.000000000
0.005128	-0.148718	11020.000000000
-0.005128	-0.148718	11310.000000000
-0.015385	-0.148718	11520.000000000
-0.025641	-0.148718	10700.000000000
-0.035897	-0.148718	10810.000000000
-0.046154	-0.148718	11190.000000000
-0.056410	-0.148718	9990.000000000
-0.066667	-0.148718	9400.000000000
-0.076923	-0.148718	9920.000000000
-0.087179	-0.148718	9140.000000000
-0.097436	-0.148718	7700.000000000
-0.107692	-0.148718	7820.000000000
-0.117949	-0.148718	6640.000000000
-0.128205	-0.148718	5720.000000000
-0.138462	-0.148718	5160.000000000
-0.148718	-0.148718	4740.000000000
-0.158974	-0.148718	4860.000000000
-0.169231	-0.148718	3850.000000000
-0.179487	-0.148718	3810.000000000
-0.189744	-0.148718	3130.000000000
-0.200000	-0.148718	3550.000000000
0.200000	-0.138462	3230.000000000
0.189744	-0.138462	3110.000000000
0.179487	-0.138462	3580.000000000
0.169231	-0.138462	4600.000000000
0.158974	-0.138462	4350.000000000
0.148718	-0.138462	4670.000000000
0.138462	-0.138462	6240.000000000
0.128205	-0.138462	6860.000000000
0.117949	-0.138462	7760.000000000
0.107692	-0.138462	8710.000000000
0.097436	-0.138462	9460.000000000
0.087179	-0.138462	8760.000000000
0.076923	-0.138462	8380.000000000
0.066667	-0.138462	8640.000000000
0.056410	-0.138462	11200.000000000
0.046154	-0.138462	11730.000000000
0.035897	-0.138462	12020.000000000
0.025641	-0.138462	12210.000000000
0.015385	-0.138462	11020.000000000
0.005128	-0.138462	10410.000000000
-0.005128	-0.138462	9930.000000000
-0.015385	-0.138462	9800.000000000
-0.025641	-0.138462	9310.000000000
-0.035897	-0.138462	8550.000000000
-0.046154	-0.138462	8440.000000000
-0.056410	-0.138462	7220.000000000
-0.066667	-0.138462	6700.000000000
-0.076923	-0.138462	6370.000000000
-0.087179	-0.138462	5480.000000000
-0.097436	-0.138462	5080.000000000
-0.107692	-0.138462	4830.000000000
-0.117949	-0.138462	4400.000000000
-0.128205	-0.138462	3750.000000000
-0.138462	-0.138462	3290.000000000
-0.148718	-0.138462	2810.000000000
-0.158974	-0.138462	2740.000000000
-0.169231	-0.138462	2600.000000000
-0.179487	-0.138462	2330.000000000
-0.189744	-0.138462	1970.000000000
-0.200000	-0.138462	1860.000000000
0.200000	-0.128205	4680.000000000
0.189744	-0.128205	6560.000000000
0.179487	-0.128205	7590.000000000
0.169231	-0.128205	7110.000000000
0.158974	-0.128205	9330.000000000
0.148718	-0.128205	10060.000000000
0.138462	-0.128205	11120.000000000
0.128205	-0.128205	12860.000000000
0.117949	-0.128205	13090.000000000
0.107692	-0.128205	12210.000000000
0.097436	-0.128205	11310.000000000
0.087179	-0.128205	10050.000000000
0.076923	-0.128205	8660.000000000
0.066667	-0.128205	9590.000000000
0.056410	-0.128205	9850.000000000
0.046154	-0.128205	10250.000000000
0.035897	-0.128205	8450.000000000
0.025641	-0.128205	8480.000000000
0.015385	-0.128205	7730.000000000
0.005128	-0.128205	7510.000000000
-0.005128	-0.128205	6870.000000000
-0.015385	-0.128205	5930.000000000
-0.025641	-0.128205	5280.000000000
-0.035897	-0.128205	4640.000000000
-0.046154	-0.128205	4460.000000000
-0.056410	-0.128205	4370.000000000
-0.066667	-0.128205	3820.000000000
-0.076923	-0.128205	3510.000000000
-0.087179	-0.128205	2950.000000000
-0.097436	-0.128205	2500.000000000
-0.107692	-0.128205	2470.000000000
-0.117949	-0.128205	2940.000000000
-0.128205	-0.128205	2560.000000000
-0.138462	-0.128205	2250.000000000
-0.148718	-0.128205	2460.000000000
-0.158974	-0.128205	2310.000000000
-0.169231	-0.128205	2010.000000000
-0.179487	-0.128205	1990.000000000
-0.189744	-0.128205	2140.000000000
-0.200000	-0.128205	1650.000000000
0.200000	-0.117949	10980.000000000
0.189744	-0.117949	10290.000000000
0.179487	-0.117949	12210.000000000
0.169231	-0.117949	11950.000000000
0.158974	-0.117949	12670.000000000
0.148718	-0.117949	13170.000000000
0.138462	-0.117949	12030.000000000
0.128205	-0.117949	11840.000000000
0.117949	-0.117949	11110.000000000
0.107692	-0.117949	9110.000000000
0.097436	-0.117949	8440.000000000
0.087179	-0.117949	7270.000000000
0.076923	-0.117949	6620.000000000
0.066667	-0.117949	6700.000000000
0.056410	-0.117949	6540.000000000
0.046154	-0.117949	5680.000000000
0.035897	-0.117949	5000.000000000
0.025641	-0.117949	4610.000000000
0.015385	-0.117949	3730.000000000
0.005128	-0.117949	4370.000000000
-0.005128	-0.117949	4150.000000000
-0.015385	-0.117949	3470.000000000
-0.025641	-0.117949	2800.000000000
-0.035897	-0.117949	2840.000000000
-0.046154	-0.117949	2720.000000000
-0.056410	-0.117949	2450.000000000
-0.066667	-0.117949	2310.000000000
-0.076923	-0.117949	2280.000000000
-0.087179	-0.117949	1980.000000000
-0.097436	-0.117949	2530.000000000
-0.107692	-0.117949	2020.000000000
-0.117949	-0.117949	2160.000000000
-0.128205	-0.117949	2570.000000000
-0.138462	-0.117949	1880.000000000
-0.148718	-0.117949	1860.000000000
-0.158974	-0.117949	1690.000000000
-0.169231	-0.117949	1570.000000000
-0.179487	-0.117949	1690.000000000
-0.189744	-0.117949	1990.000000000
-0.200000	-0.117949	1660.000000000
0.200000	-0.107692	12350.000000000
0.189744	-0.107692	11040.000000000
0.179487	-0.107692	11070.000000000
0.169231	-0.107692	9780.000000000
0.158974	-0.107692	8460.000000000
0.148718	-0.107692	8010.000000000
0.138462	-0.107692	7170.000000000
0.128205	-0.107692	6740.000000000
0.117949	-0.107692	6090.000000000
0.107692	-0.107692	5770.000000000
0.097436	-0.107692	4920.000000000
0.087179	-0.107692	4800.000000000
0.076923	-0.107692	3890.000000000
0.066667	-0.107692	3530.000000000
0.056410	-0.107692	2890.000000000
0.046154	-0.107692	2910.000000000
0.035897	-0.107692	2590.000000000
0.025641	-0.107692	2830.000000000
0.015385	-0.107692	2500.000000000
0.005128	-0.107692	2260.000000000
-0.005128	-0.107692	2180.000000000
-0.015385	-0.107692	2460.000000000
-0.025641	-0.107692	2030.000000000
-0.035897	-0.107692	2400.000000000
-0.046154	-0.107692	2010.000000000
-0.056410	-0.107692	1970.000000000
-0.066667	-0.107692	1980.000000000
-0.076923	-0.107692	1750.000000000
-0.087179	-0.107692	1840.000000000
-0.097436	-0.107692	1730.000000000
-0.107692	-0.107692	1710.000000000
-0.117949	-0.107692	1760.000000000
-0.128205	-0.107692	1900.000000000
-0.138462	-0.107692	1770.000000000
-0.148718	-0.107692	1890.000000000
-0.158974	-0.107692	1580.000000000
-0.169231	-0.107692	1660.000000000
-0.179487	-0.107692	1320.000000000
-0.189744	-0.107692	1670.000000000
-0.200000	-0.107692	1570.000000000
0.200000	-0.097436	7720.000000000
0.189744	-0.097436	6240.000000000
0.179487	-0.097436	6000.000000000
0.169231	-0.097436	5100.000000000
0.158974	-0.097436	4280.000000000
0.148718	-0.097436	4650.000000000
0.138462	-0.097436	3480.000000000
0.128205	-0.097436	3790.000000000
0.117949	-0.097436	3380.000000000
0.107692	-0.097436	3330.000000000
0.097436	-0.097436	3020.000000000
0.087179	-0.097436	3000.000000000
0.076923	-0.097436	2500.000000000
0.066667	-0.097436	2490.000000000
0.056410	-0.097436	2420.000000000
0.046154	-0.097436	1970.000000000
0.035897	-0.097436	1960.000000000
0.025641	-0.097436	1870.000000000
0.015385	-0.097436	2440.000000000
0.005128	-0.097436	1800.000000000
-0.005128	-0.097436	2380.000000000
-0.015385	-0.097436	2070.000000000
-0.025641	-0.097436	2020.000000000
-0.035897	-0.097436	1750.000000000
-0.046154	-0.097436	1950.000000000
-0.056410	-0.097436	1860.000000000
-0.066667	-0.097436	1720.000000000
-0.076923	-0.097436	1720.000000000
-0.087179	-0.097436	2010.000000000
-0.097436	-0.097436	1650.000000000
-0.107692	-0.097436	1860.000000000
-0.117949	-0.097436	2040.000000000
-0.128205	-0.097436	1600.000000000
